id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79756730;1С-аналитик;Оператор 1С-Аналитик;Красноярск;Партнеры Красноярск;;диадок, аналитическое мышление, опытный пользователь пк, эдо, экономика, точность и внимательность к деталям, 1с: торговля и склад, умение организовать работу, microsoft office, инициативность;От 1 года до 3 лет;2023-04-25;40000;45000;RUR
79211190;1С-аналитик;Консультант 1С / аналитик 1С в ИТ компанию;Нижний Новгород;Кузница Кадров;;erp-системы на базе 1с, работа в команде, ориентация на результат, 1c erp, описание бизнес-процессов;От 1 года до 3 лет;2023-04-27;150000;;RUR
79086037;1С-аналитик;1С Аналитик;Москва;CHINT;;;От 3 до 6 лет;2023-04-28;;;
77847407;1С-аналитик;Системный 1С аналитик;Москва;Крошка-Картошка, Сеть кафе быстрого питания;;;От 3 до 6 лет;2023-04-28;;;
79790458;1С-аналитик;Специалист 1С/Консультант 1С/Аналитик 1С;Москва;СОЛО;;1с: предприятие 8, 1с программирование, 1c: бухгалтерия, 1с: торговля, администрирование сайтов;От 3 до 6 лет;2023-04-28;20000;100000;RUR
77899972;1С-аналитик;Специалист по 1С (аналитик 1С);Москва;Москоллектор;;;От 3 до 6 лет;2023-04-28;90000;110000;RUR
79205445;1С-аналитик;1С аналитик;Москва;E.COMPANY;;1с: предприятие, поддержка 1с, написание технических заданий, проведение тестирований, обучение пользователей, написание инструкций;От 1 года до 3 лет;2023-04-27;;;
79226451;1С-аналитик;Методолог 1С / Аналитик 1С;Москва;Альмакор - Динамичные Решения;;;От 3 до 6 лет;2023-04-27;;;
79864112;1С-аналитик;Автор курса «1С Аналитик»;Москва;Яндекс Практикум;;bpmn, 1с, бизнес-анализ;От 3 до 6 лет;2023-04-27;;;
78857143;1С-аналитик;Аналитик 1С / Аналитик бизнес- процессов производства;Москва;НПП Спецкабель;;1с: зарплата и управление персоналом, бизнес-анализ, erp-системы на базе 1с, 1с: бухгалтерия;От 3 до 6 лет;2023-04-27;;;
79616695;1С-аналитик;Консультант 1С / Аналитик 1С / Методолог 1С (управленческий учет);Москва;IT Capital;;управление проектами, планирование, 1c: бухгалтерия, управленческая отчетность, 1с: документооборот, бюджетирование закупок;От 3 до 6 лет;2023-04-26;;;
77753811;1С-аналитик;Консультант 1С / Аналитик 1С в ИТ компанию;Москва;Кузница Кадров;;1c erp, erp-системы на базе 1с;От 1 года до 3 лет;2023-04-24;150000;;RUR
79517054;1С-аналитик;Ведущий 1С Аналитик;Москва;ВС Кэпитал;;1с: зарплата и управление персоналом, 1с: бухгалтерия, 1с: управление торговлей, 1с: предприятие 8, аналитика, разработка технических заданий, обучение персонала;От 1 года до 3 лет;2023-04-19;120000;;RUR
78596489;1С-аналитик;Консультант 1С / Аналитик 1С;Москва;СНС, Группа компаний;;;От 1 года до 3 лет;2023-04-14;;;
79118646;1С-аналитик;Спикер на курс «1С Аналитик»;Москва;Skillbox;;обучение, подготовка презентаций, навыки презентации, создание презентационных материалов о компании, python, java;От 3 до 6 лет;2023-04-10;;;
78994804;1С-аналитик;Функциональный Архитектор 1С (Аналитик);Москва;ГК ВИЗАВИ Консалт;;erp-системы на базе 1с, 1с: управление торговлей, 1с: документооборот, 1с: предприятие, разработка технических заданий;От 1 года до 3 лет;2023-04-06;;255000;RUR
79304262;1С-аналитик;1С-аналитик — Группа по разработке инновационных ИТ-решений в области налогов и права;Москва;Деловые Решения и Технологии (ДРТ);;1с: бухгалтерия, бухгалтерский учет, налоговый учет, 1с: бухгалтерия предприятия;От 3 до 6 лет;2023-04-14;;;
78960454;1С-аналитик;Методолог 1С/Аналитик 1С;Москва;СТРАТЕГИЯ;;;От 3 до 6 лет;2023-04-05;;200000;RUR
78178196;1С-аналитик;Аналитик 1C / 1C Analyst (гибридный режим работы офис+удаленно);Москва;Air Liquide;;1с программирование, бизнес-анализ, моделирование бизнес процессов, разработка технических заданий;От 3 до 6 лет;2023-04-04;;;
79860606;1С-аналитик;Консультант 1С/Аналитик 1С;Щелково;Канонфарма продакшн;;1с: документооборот, erp-системы на базе 1с;От 1 года до 3 лет;2023-04-27;;;
79676148;1С-аналитик;1C аналитик / IT-специалист;Ивантеевка;ТРОКОТ;;;От 1 года до 3 лет;2023-04-27;80000;;RUR
79125894;1С-аналитик;1С-Аналитик;Орехово-Зуево;ГУП МО Коммунальные системы Московской области;;;От 1 года до 3 лет;2023-04-10;63000;;RUR
78913069;1С-аналитик;Консультант 1С/Аналитик 1С/Стажер 1С;Благовещенск (Амурская область);Энтер-Софт;;постановка задач разработчикам, ms visio, разработка проектной документации, продвинутый пользователь 1с, разработка технических заданий;Нет опыта;2023-04-28;45000;55000;RUR
69677522;1С-аналитик;Консультант 1С / Аналитик 1С в ИТ компанию;Санкт-Петербург;Кузница Кадров;;1с: предприятие 8;От 1 года до 3 лет;2023-04-28;150000;;RUR
79224808;1С-аналитик;Программист 1С/Аналитик-консультант 1С;Санкт-Петербург;Кварта;;1с: розница, 1с: управление торговлей, 1с: бухгалтерия, обновление конфигурации 1с, разработка инструкций, 1c: бухгалтерия, 1с-битрикс, 1с: унф, проведение тестирований, подключение торгового оборудования к 1с, обучение персонала, написание технических заданий, работа в команде, битрикс:24;От 3 до 6 лет;2023-04-27;120000;130000;RUR
78708570;1С-аналитик;Консультант 1С / Аналитик 1С / Специалист линии консультаций 1С;Санкт-Петербург;Инфостарт;;1с: зарплата и управление персоналом, 1с: бухгалтерия, 1с: предприятие 8, грамотная речь, 1с: управление торговлей, деловая переписка, 1с: розница, 1с унф, консультирование, 1с: предприятие: бухгалтерский учет, 1с: комплексная автоматизация, 1c: erp;От 3 до 6 лет;2023-04-26;60000;;RUR
74243869;1С-аналитик;Аналитик 1С (Аналитик со знанием 1С);Санкт-Петербург;Газпром нефть;;ms visio, управление проектами, бизнес-анализ, 1с: управление производственным предприятием;От 1 года до 3 лет;2023-04-25;;;
68332247;1С-аналитик;Ведущий Консультант 1С \ Аналитик 1С (Финансовый контур) Удаленно;Санкт-Петербург;Odyssey Consulting Group;;бизнес-анализ, erp-системы на базе 1с;От 3 до 6 лет;2023-04-24;;;
79243501;1С-аналитик;Программист-консультант 1C, Аналитик 1С, Сервис инженер 1С (ЗикГУ, БГУ) (стажировка);Санкт-Петербург;Баланс;;1с: предприятие 8, консультирование, 1с программирование, 1с: документооборот, обновление конфигурации 1с, консультирование клиентов;От 1 года до 3 лет;2023-04-13;40000;140000;RUR
78729793;1С-аналитик;Консультант 1С / Аналитик 1С по бухгалтерскому учету, удаленно;Саратов;Сервистренд;;1с: зарплата и управление персоналом, налоговая отчетность, бухгалтерский учет, бухгалтерская отчетность, 1с: предприятие 8, 1c: бухгалтерия, 1с: зарплата и кадры;От 1 года до 3 лет;2023-03-30;28000;;RUR
79735665;1С-аналитик;1С Аналитик (Руководитель группы проекта);Курган;Курганстальмост;;разработка по, ms sql, delphi;От 3 до 6 лет;2023-04-24;120000;;RUR
79703673;1С-аналитик;Специалист 1С - Аналитик отдела продаж;Уфа;ГК Архстройинвестиции;;1с: предприятие 8, аналитическое мышление, crm, ms excel, google docs;От 1 года до 3 лет;2023-04-28;90000;90000;RUR
79510189;1С-аналитик;Программист 1с аналитик;Екатеринбург;ЕМУП «Спецавтобаза»;;;От 1 года до 3 лет;2023-04-19;42750;;RUR
79576275;1С-аналитик;Консультант 1 С/Специалист 1 С/Аналитик 1С;Краснодар;ИК СИБИНТЕК;;1с: управление производственным предприятием, 1с: управление торговлей, 1с: бухгалтерия, 1с: предприятие 8, 1с: производство;От 3 до 6 лет;2023-04-20;;;
69027172;1С-аналитик;Программист-консультант 1С, Аналитик-программист 1С;Воронеж;УпакТрейд;;1с: управление производственным предприятием, ведение переписки на иностранном языке, 1с: документооборот, 1с: управление персоналом, 1с: предприятие 8, 1с программирование, 1c: финансы, cистемы управления базами данных, работа в команде, 1с: управление предприятием, грамотная речь, способность обучать других;От 3 до 6 лет;2023-04-24;;;
74242039;1С-аналитик;Программист 1С (Аналитик/Архитектор);Обнинск;Итера;;эффективное принятие решений, навыки разрешения спорных ситуаций, организационная осведомленность, microsoft powerpoint, высшее образование;От 3 до 6 лет;2023-04-25;;;
78693170;1С-аналитик;Руководитель группы 1С Аналитики;Ростов-на-Дону;ВС Кэпитал;;анализ бизнес показателей, знание 1с, аналитическое мышление, 1c: управление торговлей, 1c: бухгалтерия, 1с: розница, баланс, движение денежных средств, разработка технических заданий, бизнес-анализ, постановка задач разработчикам;От 1 года до 3 лет;2023-04-27;100000;180000;RUR
