id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79614894;Дата-инженер;Data engineer /  дата инженер / инженер данных;Казань;Wanted;;dwh, etl, clickhouse, ms sql server, oracle, databases, ms sql, sql, база данных: oracle;От 1 года до 3 лет;2023-04-20;;;
74007023;Дата-инженер;Data-инженер/Дата-инженер/Инженер данных;Нижний Новгород;Синергетик;;hadoop, hive, python, etl, sql, big data, powerbi, microsoft access, точность и внимательность к деталям, работа с базами данных;От 1 года до 3 лет;2023-04-14;;;
79870133;Дата-инженер;Ведущий инженер по механическим системам дата-центра;Сасово;Яндекс;;autocad, инженерные системы, техническая эксплуатация, управление проектами, охрана труда и техника безопасности;Более 6 лет;2023-04-27;;;
78154515;Дата-инженер;Дата-инженер;Москва;ЛогЛаб;;;От 3 до 6 лет;2023-04-26;300000;;RUR
78754049;Дата-инженер;Дата-инженер;Москва;Дельта Джи;;работа с большим объемом информации, высокая энергичность и инициативность, знание программ, ответственный подход к работе, etl, sql, python, анализ данных, быстрое обучение, аналитические навыки, работа в условиях многозадачности, работа с базами данных, pandas, nifi;От 1 года до 3 лет;2023-04-27;60000;90000;RUR
79228875;Дата-инженер;Дата-инженер;Москва;билайн;;spark, airflow, scala, sql, python, big data, kafka, hadoop, базы данных, etl;От 1 года до 3 лет;2023-04-27;;;
75933699;Дата-инженер;Сетевой инженер (Сеть дата-центров);Москва;Retail Personal;;cisco, zabbix, tcp/ip, ospf, ccna, bgp, networking;От 1 года до 3 лет;2023-04-26;190000;;RUR
78662144;Дата-инженер;Дата инженер (NiFi);Москва;Goodt;;sql, ms access, работа с базами данных, базы данных, аналитическое мышление, apache nifi, etl;От 1 года до 3 лет;2023-04-28;;;
78657775;Дата-инженер;Дата-инженер;Москва;Альфа-Банк;;;От 1 года до 3 лет;2023-04-25;;;
78954091;Дата-инженер;Data Engineer / Дата-инженер (Middle);Москва;Платформа Больших Данных;;sql, scala, spark, hadoop, hive, python, airflow, docker, big data;От 1 года до 3 лет;2023-04-26;250000;300000;RUR
76859360;Дата-инженер;Ведущий дата-инженер;Москва;Mediascope;;sql, системный подход, hadoop, spark, linux, etl, big data, аналитическое мышление, системное мышление, аналитика, python, базы данных, анализ данных;От 3 до 6 лет;2023-04-27;;;
71486349;Дата-инженер;Администратор/инженер виртуальной инфраструктуры дата центра;Москва;24Н Софт;;vmware, linux, zabbix, kvm, tcp/ip, настройка серверов, резервное копирование, администрирование серверов, nsx-t, vmware vcloud director;От 3 до 6 лет;2023-04-27;180000;;RUR
79715125;Дата-инженер;Дата инженер;Москва;Эн+ Групп;;;От 1 года до 3 лет;2023-04-24;;;
79002986;Дата-инженер;Дата инженер;Москва;Группа страховых компаний Югория;;;От 1 года до 3 лет;2023-04-06;;;
79614611;Дата-инженер;Дата инженер;Москва;АНО Университет Национальной Технологической Инициативы 2035;;python, sql, postgresql, ci/cd, mongodb, jira, ms excel;От 1 года до 3 лет;2023-04-20;;;
79665860;Дата-инженер;Дата инженер;Москва;СБЕР;;;От 1 года до 3 лет;2023-04-21;;;
78299959;Дата-инженер;Дата-инженер (Data Engineer);Москва;Гринатом;;ms excel, ms sql, автоматизация подготовки данных;От 1 года до 3 лет;2023-04-19;;;
79088722;Дата-инженер;Дата инженер;Москва;СБЕР;;;От 3 до 6 лет;2023-04-10;;;
79127417;Дата-инженер;Разработчик BI (дата инженер);Москва;Перспектива;;ms sql server, sql, etl, dwh, postgresql, javascript, python, datavault, business intelligence systems;От 3 до 6 лет;2023-04-28;200000;200000;RUR
79889341;Дата-инженер;Стажер подразделения ИТ (Дата инженер/Разработчик аналитических систем);Москва;ДОМ.РФ;;;Нет опыта;2023-04-27;50000;;RUR
79921826;Дата-инженер;Инженер-электрик в Дата-Центр;Москва;Техно Город;;ответственность, исполнительность, внимательность, стрессоустойчивость;От 1 года до 3 лет;2023-04-28;70000;80000;RUR
78852846;Дата-инженер;Head Data Engineer / Дата инженер руководитель направления;Москва;Сеть Партнерств;;python, sql, pytorch, postgresql, git, kafka, tableau, clickhouse, nlp, etl, big data, data analysis, machine learning, теория вероятностей, docker, linux, машинное обучение;От 3 до 6 лет;2023-04-26;350000;;RUR
75718905;Дата-инженер;Data Engineer / дата-инженер (senior/ middle);Москва;S8 Capital;;clickhouse, sql, инженер данных, дата-инженер, data-инженер, dwh, datalens;От 3 до 6 лет;2023-04-25;;;
79673187;Дата-инженер;Старший инженер по эксплуатации дата-центров;Москва;Киберпротект;;linux, git, openstack, kubernetes, mysql, postgresql, ansible, tcp/ip, lacp, firewall;От 3 до 6 лет;2023-04-21;;;
79407728;Дата-инженер;Дата инженер (Data engineer) Управление модельных рисков и валидации;Москва;Банк ВТБ (ПАО);;python, sql;От 1 года до 3 лет;2023-04-17;;;
79178458;Дата-инженер;Data Engineer / Дата инженер;Москва;СберМаркетинг;;clickhouse, sql, airflow, docker;От 3 до 6 лет;2023-04-11;;;
72161518;Дата-инженер;Старший дата-инженер / Senior Data Engineer;Москва;Procter & Gamble;;python, sql;От 3 до 6 лет;2023-04-01;270000;;RUR
79299433;Дата-инженер;Дежурный инженер дата-центра;Ивантеевка;Яндекс;;инженерные системы, техническая эксплуатация, ввод в эксплуатацию, эксплуатация;От 3 до 6 лет;2023-04-14;;;
72818601;Дата-инженер;Дата-инженер / Data Engineer;Мытищи;ФГБУ ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РАДИОЭЛЕКТРОНИКИ;;python, sql;От 1 года до 3 лет;2023-03-31;;;
78982411;Дата-инженер;Дата-инженер;Санкт-Петербург;билайн;;spark, airflow, scala, sql, python, big data, kafka, hadoop, базы данных, etl;От 1 года до 3 лет;2023-04-27;;;
78818625;Дата-инженер;Дежурный инженер дата-центра;Владимир;Яндекс;;autocad, компас-3d, инженерные системы, энергетика, windows 7;Нет опыта;2023-04-03;;;
78084559;Дата-инженер;Дата инженер (NiFi);Екатеринбург;Goodt;;sql, ms access, работа с базами данных, базы данных, аналитическое мышление, apache nifi, etl;От 1 года до 3 лет;2023-04-28;;;
