id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79613490;Маркетинговый аналитик;Маркетинговый аналитик (исследования рынка);Казань;Ак Барс Банк;;;От 1 года до 3 лет;2023-04-20;;;
79292840;Маркетинговый аналитик;Аналитик/Маркетинговый аналитик;Москва;MANGO OFFICE;;python, sql, data analysis, google analytics, анализ данных, b2b маркетинг, data mining;От 1 года до 3 лет;2023-04-26;;;
79340312;Маркетинговый аналитик;Маркетинговый аналитик;Москва;ФЛАУВАУ;;python, sql, numpy, jupyter notebook;От 1 года до 3 лет;2023-04-26;;;
79827441;Маркетинговый аналитик;Маркетинговый аналитик;Москва;VK;;маркетинговый анализ, ms sql, python;От 1 года до 3 лет;2023-04-26;;;
79935437;Маркетинговый аналитик;Маркетинговый аналитик/Аналитик;Москва;Stone Hedge;;анализ бизнес показателей, анализ данных, работа с большим объемом информации, анализ конкурентной среды, статистический анализ, реклама, подготовка презентаций, аналитические исследования, анализ рынка, сбор и анализ информации, подготовка отчетов, аналитика, маркетинг, конкурентная аналитика, swot анализ, конкурентный анализ, создание презентационных материалов о компании;От 1 года до 3 лет;2023-04-28;;;
77809022;Маркетинговый аналитик;Аналитик по маркетингу;Москва;ДИКСИ, группа компаний;;ms sql server, sql, ms sql, ms visual basic, powerbi, умение работать с большим количеством информации, аналитическое мышление, аналитические навыки;От 1 года до 3 лет;2023-04-26;140000;140000;RUR
79770835;Маркетинговый аналитик;Маркетинговый аналитик в Доставку;Москва;Яндекс;;python, sql;От 3 до 6 лет;2023-04-25;;;
78916472;Маркетинговый аналитик;Маркетинговый аналитик (Долями);Москва;Тинькофф;;;От 1 года до 3 лет;2023-04-25;;;
79866240;Маркетинговый аналитик;Продуктовый/маркетинговый аналитик;Москва;Центр разработки программного обеспечения;;анализ данных, python, sql, mytarget, яндекс.директ, продуктовый анализ, маркетинговый анализ, airflow, аналитическое мышление;От 3 до 6 лет;2023-04-27;;;
79769316;Маркетинговый аналитик;Аналитик отдела маркетинговых исследований;Москва;Гознак;;;От 1 года до 3 лет;2023-04-25;;144000;RUR
