id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
78997666;Продуктовый аналитик;Продуктовый аналитик;Казань;Миррико, Группа Компаний;;бизнес-анализ, постановка задач разработчикам, анализ данных, разработка нового продукта;От 3 до 6 лет;2023-04-25;70000;;RUR
79823817;Продуктовый аналитик;Продуктовый аналитик;Казань;Aston;;etl, power bi, python, google analytics, amplitude, google data studio, oracle, qlikview, hadoop, tableau, qlik sense, яндекс.метрика, appsflyer, firebase, bigquery, superset;От 1 года до 3 лет;2023-04-26;;;
78290487;Продуктовый аналитик;Продуктовый аналитик;Казань;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-04-19;;;
79606933;Продуктовый аналитик;Аналитик продуктов виртуализации;Казань;НИИ МАСШТАБ;;vmware, hyper-v, linux, логика, техническое задание;От 3 до 6 лет;2023-04-20;;150000;RUR
79779129;Продуктовый аналитик;Продуктовый аналитик-маркетолог;Ижевск;ТехноСтудия Профиль;;аналитическое мышление, анализ рынка, оценка потребностей клиентов, разработка нового продукта, excel, проектный менеджмент, сбор и анализ информации, исследование потребительских предпочтений;От 1 года до 3 лет;2023-04-25;40000;;RUR
78799267;Продуктовый аналитик;Маркетолог - аналитик/ продуктовый менеджер;Чебоксары;Завод игрового спортивного оборудования;;работа с большим объемом информации, работа с базами данных, abc-анализ, ответственность, исполнительность, аналитический склад ума;От 1 года до 3 лет;2023-04-02;40000;;RUR
78290489;Продуктовый аналитик;Продуктовый аналитик;Нижний Новгород;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-04-19;;;
79885571;Продуктовый аналитик;Бизнес-аналитик Центра технологий сопровождения розничных продуктов;Нижний Новгород;Газпромбанк;;работа с большим объемом информации, способность работать в режиме многозадачности, систематизация информации, автоматизация процессов;От 3 до 6 лет;2023-04-27;;;
77752337;Продуктовый аналитик;Системный аналитик (Центр разработки продуктов для физических лиц);Нижний Новгород;Бэнкс Софт Системс;;sql, бизнес-анализ, oracle, bpmn, uml, atlassian jira, разработка технических заданий;Нет опыта;2023-04-12;;;
77993039;Продуктовый аналитик;Маркетолог-аналитик / Категорийный менеджер в группе продуктового развития;Рязань;Everest Partner;;деловая коммуникация, анализ конкурентной среды, анализ ассортиментной линейки, анализ финансовых показателей, маркетинговая стратегия, умение работать в условиях многозадачности, работа в команде, пользователь пк, работа с большим объемом информации, поиск информации в интернет, анализ бизнес показателей, запуск международных рекламных кампаний, планирование рекламных кампаний, базы данных;От 1 года до 3 лет;2023-04-21;;;
79917894;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;Финтех Айкью;;sql, oracle, powerbi, аналитика, аналитическое мышление, business intelligence systems, анализ поведения пользователей, a/b тесты;От 1 года до 3 лет;2023-04-28;;;
79916191;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;Вебзайм;;sql, oracle, аналитика, аналитическое мышление, a/b тесты, работа в команде, ms power bi, стремление к профессиональному росту, business intelligence systems;От 1 года до 3 лет;2023-04-28;;;
78290485;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-04-19;;;
79607790;Продуктовый аналитик;Аналитик продуктов виртуализации;Новосибирск;НИИ МАСШТАБ;;vmware, hyper-v, linux, логика, техническое задание;От 3 до 6 лет;2023-04-20;;150000;RUR
79384426;Продуктовый аналитик;Системный аналитик (интеграции розничных и корпоративных банковских продуктов);Новосибирск;Совкомбанк Технологии;;bpmn, oracle pl/sql, atlassian jira, atlassian confluence, разработка технических заданий;Нет опыта;2023-04-17;;;
79606848;Продуктовый аналитик;Аналитик продуктов виртуализации;Омск;НИИ МАСШТАБ;;vmware, hyper-v, linux, unix, логика, техническое задание, docker, kubernetes;От 3 до 6 лет;2023-04-20;;150000;RUR
78290488;Продуктовый аналитик;Продуктовый аналитик;Томск;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-04-19;;;
79607720;Продуктовый аналитик;Аналитик продуктов виртуализации;Томск;НИИ МАСШТАБ;;vmware, hyper-v, linux, логика, техническое задание;От 3 до 6 лет;2023-04-20;;150000;RUR
