id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79717968;Финансовый аналитик;Кредитный аналитик в финансовую компанию Umnozhenie (удаленно);Казань;Солодянкин Клим Игоревич;;работа с банками, срм, анализ текущих финансовых показателей, навыки эффективного общения, достижение результата, системное мышление, работа с документами;От 1 года до 3 лет;2023-04-27;113000;289000;RUR
79370981;Финансовый аналитик;Финансист-аналитик/Финансовый директор;Казань;АНП Зенит;;power bi, аналитическое мышление, ms powerpoint, управленческая отчетность, финансовая отчетность;От 3 до 6 лет;2023-04-26;150000;;RUR
79086010;Финансовый аналитик;Финансовый аналитик;Набережные Челны;НАХОДКА;;;От 1 года до 3 лет;2023-04-27;70070;;RUR
79819451;Финансовый аналитик;Финансовый аналитик;Казань;Savage;;управленческая отчетность, 1c: финансы, финансовая отчетность, умение организовывать работу, планировать, работа в команде;От 3 до 6 лет;2023-04-26;;;
79910175;Финансовый аналитик;Финансовый аналитик;Казань;ВТС;;финансовый анализ, ms powerpoint, управленческий учет, 1с: предприятие 8, экономический анализ;От 3 до 6 лет;2023-04-28;60000;;RUR
79910718;Финансовый аналитик;Финансовый аналитик;Казань;Абдуллина Алсу Ренатовна;;экономическое моделирование, анализ инвестиционных проектов, аналитические исследования, анализ финансовых показателей, бизнес-планирование, альт-инвест, анализ текущих финансовых показателей, подготовка презентаций, английский язык;От 1 года до 3 лет;2023-04-28;55000;60000;RUR
79922046;Финансовый аналитик;Финансовый аналитик;Набережные Челны;Группа Бринэкс;;;От 1 года до 3 лет;2023-04-28;;90000;RUR
79616396;Финансовый аналитик;Младший финансовый аналитик (удаленно);Набережные Челны;Моё дело;;финансовый анализ, анализ текущих финансовых показателей, обучение и развитие, экономический анализ, linux;От 1 года до 3 лет;2023-04-20;40000;;RUR
79021093;Финансовый аналитик;Финансовый аналитик со знанием английского языка;Казань;Картли;;английский язык, финансовый анализ, ms powerpoint, управленческая отчетность, финансовая отчетность;Нет опыта;2023-04-26;70000;;RUR
79598018;Финансовый аналитик;Финансовый аналитик;Казань;Factory5;;финансовый анализ, экономический анализ, экономическое моделирование;От 1 года до 3 лет;2023-04-20;;;
78195244;Финансовый аналитик;Финансовый аналитик;Казань;БАНК КАЗАНИ, КБЭР;;кредитные договоры, анализ финансовых показателей, ms access, 1c: финансы, анализ текущих финансовых показателей;От 1 года до 3 лет;2023-04-26;;;
79402894;Финансовый аналитик;Финансовый аналитик;Казань;Картли;;финансовый анализ, ms powerpoint, управленческая отчетность, финансовая отчетность;Нет опыта;2023-04-17;50000;;RUR
79360961;Финансовый аналитик;Accountant / Financial analyst;Казань;PropVue LLC;;бухгалтерский учет, английский язык, формирование управленческой отчетности, работа с большим объемом информации, финансовый менеджмент, аналитическое мышление, анализ финансовых показателей, анализ бизнес показателей, налоги, business english, финансовая отчетность, финансовый контроль, тайм-менеджмент, управленческая отчетность;От 3 до 6 лет;2023-04-17;90000;;RUR
78808960;Финансовый аналитик;Аналитик (Финансовый блок операционных расходов);Казань;МАГНИТ, Розничная сеть;;работа с большим объемом информации, финансовая отчетность, план-фактный анализ бюджета, продвинутый пользователь ms excel, анализ финансовых показателей;От 1 года до 3 лет;2023-04-03;;70000;RUR
79606336;Финансовый аналитик;Финансовый аналитик;Ижевск;Авто Столица;;;От 3 до 6 лет;2023-04-20;60000;;RUR
79859939;Финансовый аналитик;Финансовый аналитик;Ижевск;Калашников;;;От 3 до 6 лет;2023-04-27;;;
79908798;Финансовый аналитик;Финансовый аналитик;Чебоксары;Гарантийный фонд Чувашской Республики;;анализ финансовых показателей, работа с юридическими лицами, финансовая отчетность, исполнение поручений руководителя, контроль оформления документов, составление договоров, финансовый анализ, деловая переписка, ведение переговоров, подготовка отчетов, деловая этика, коммуникабельность, ответственность;От 3 до 6 лет;2023-04-28;35000;40000;RUR
