id;job_title;created_at;city;salary_from;salary_to;currency
73433068;Программист Python;2022-12-10T08:28:13+0300;Санкт-Петербург;120000;;RUR
73448677;Программист Python;2022-12-10T12:04:59+0300;Москва;;230000;RUR
73444689;Middle Python разработчик;2022-12-10T11:14:32+0300;Екатеринбург;100000;200000;RUR
70809271;Middle Python developer (Казань);2022-12-10T12:19:52+0300;Казань;160000;;RUR
72308150;Системный администратор Linux (Казань);2022-12-10T11:12:44+0300;Казань;250000;;RUR
73468878;Python developer (Machine Learning Engineer);2022-12-09T09:04:27+0300;Москва;;;
71147348;Разработчик C# / Python;2022-12-09T19:30:20+0300;Москва;300000;500000;RUR
73138633;Python разработчик;2022-12-09T14:59:17+0300;Самара;60000;85000;RUR
67856203;Python developer (Middle);2022-12-09T12:37:32+0300;Санкт-Петербург;300000;360000;RUR
73581287;Python Backend разработчик;2022-12-09T14:25:26+0300;Москва;130000;200000;RUR
73271570;Python разработчик (микро сервисы);2022-12-09T16:12:11+0300;Нижний Новгород;150000;200000;RUR
73589097;Backend Python программист;2022-12-09T16:24:24+0300;Воронеж;;;
73168419;Python разработчик;2022-12-10T09:31:19+0300;Москва;;;
73112663;Backend-разработчик на Python;2022-12-09T08:34:52+0300;Екатеринбург;60000;;RUR
73444442;Middle Python developer;2022-12-10T11:12:51+0300;Санкт-Петербург;100000;;RUR
72162055;Python-разработчик;2022-12-10T11:28:40+0300;Москва;;;
73569629;Python Developer (Middle/Senior);2022-12-09T11:02:02+0300;Ташкент;124000;248000;RUR
70705466;Python-разработчик (Django, DRF);2022-12-08T20:09:12+0300;Москва;60000;220000;RUR
73583074;Python Developer (Middle/Senior);2022-12-09T14:40:23+0300;Алматы;124000;248000;RUR
73396336;Middle Python developer;2022-12-09T14:50:39+0300;Ярославль;120000;200000;RUR
73384076;Python разработчик;2022-12-09T11:41:44+0300;Москва;;;
