id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
78381745;Data Scientist;Senior Data Scientist;Иннополис;Контур;;nlp, machine learning, python, data science;От 3 до 6 лет;2023-04-21;;;
79015089;Data Scientist;Data-scientist, ML (удалённо);Казань;Брами Бразерс;;удаленная работа, agile, проектирование с нуля, грамотно поставленная речь, спокойствие, общение, работа в команде, умение работать в условиях многозадачности, проектирование пользовательских интерфейсов, python, pandas, ооп, git, machine learning, nlp;От 1 года до 3 лет;2023-04-06;150000;;RUR
78330523;Data Scientist;Middle Data scientist (корпоративные риски);Казань;Ак Барс Банк;;;От 1 года до 3 лет;2023-04-20;;;
79079448;Data Scientist;Data Scientist (Middle+/Senior);Иркутск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-04-24;;;
79079447;Data Scientist;Data Scientist (Middle+/Senior);Красноярск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-04-24;;;
78937901;Data Scientist;Junior Data scientist (Аналитик);Нижний Новгород;Займиго МФК;;python, статистический анализ, прогнозирование, математическая статистика;Нет опыта;2023-04-27;60000;;RUR
79779951;Data Scientist;Data scientist;Нижний Новгород;СБЕР;;;От 3 до 6 лет;2023-04-25;;;
79722544;Data Scientist;Middle Data scientist / Аналитик (Нижний Новгород);Нижний Новгород;Займиго МФК;;python, статистический анализ, прогнозирование, математическая статистика;От 1 года до 3 лет;2023-04-24;100000;150000;RUR
69631571;Data Scientist;Data Scientist;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-04-19;;;
78855362;Data Scientist;Аналитик данных / Data Analyst / Data Scientist;Нижний Новгород;DEERAY;;python, jupyter notebook, business intelligence systems, data analysis, анализ данных, аналитическое мышление, big data, ml, ms excel, etl, a/b тесты, mathematical statistics, sql, power query, работа в команде, data science, математическая статистика, регрессионный анализ, статистический анализ, git;От 3 до 6 лет;2023-04-03;80000;;RUR
78149683;Data Scientist;Data Scientist;Нижний Новгород;Моризо Диджитал;;python, sql, ms powerpoint, статистический анализ, ml, data science;От 3 до 6 лет;2023-04-07;;;
78732741;Data Scientist;Data Scientist в рекомендательные системы;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-03-30;;;
78883017;Data Scientist;Senior Data Scientist;Нижний Новгород;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
78867877;Data Scientist;Data scientist / Python разработчик;Рязань;Пауэр Тех;;big data, data analysis, mathematical analysis, python, sql, английский язык, postgresql, mongodb;От 1 года до 3 лет;2023-04-28;;;
79715865;Data Scientist;Data Scientist Управления модельных рисков и валидации;Новосибирск;Банк ВТБ (ПАО);;математическое моделирование, анализ данных, статистический анализ, валидация моделей, модельный риск, sql;От 1 года до 3 лет;2023-04-24;;;
79105752;Data Scientist;Data Scientist (удаленно);Новосибирск;Горбунов Илья Николаевич;;python, sql, linux, numpy, pandas, machine learning, машинное обучение, data analysis, mathematical statistics, big data, data science, sklearn, pytorch;От 1 года до 3 лет;2023-04-28;;;
77860633;Data Scientist;Data Scientist;Новосибирск;LC Group;;python, docker, machine learning;От 3 до 6 лет;2023-04-28;;;
76815796;Data Scientist;Lead data scientist;Новосибирск;Дром;;машинное обучение, алгоритмы, computer vision, python;От 3 до 6 лет;2023-04-16;300000;350000;RUR
79079445;Data Scientist;Data Scientist (Middle+/Senior);Новосибирск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-04-24;;;
78007068;Data Scientist;Data scientist;Новосибирск;LC Group;;;От 1 года до 3 лет;2023-04-04;;;
78883014;Data Scientist;Senior Data Scientist;Новосибирск;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
79079449;Data Scientist;Data Scientist (Middle+/Senior);Омск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-04-24;;;
76815797;Data Scientist;Lead data scientist;Томск;Дром;;машинное обучение, алгоритмы, computer vision, python;От 3 до 6 лет;2023-04-16;300000;350000;RUR
79079444;Data Scientist;Data Scientist (Middle+/Senior);Томск;Центр финансовых технологий;;;От 1 года до 3 лет;2023-04-24;;;
78883019;Data Scientist;Senior Data Scientist;Томск;Positive Technologies;;python, machine learning, web security, sklearn, pytorch, docker;От 3 до 6 лет;2023-04-04;;;
79311788;Data Scientist;Data Scientist;Москва;СБЕР;;;От 3 до 6 лет;2023-04-27;;;
79550129;Data Scientist;Аналитик / Data scientist;Москва;ЭКОПСИ Консалтинг;;python, r, data scientist;Нет опыта;2023-04-28;;;
79577718;Data Scientist;Data Scientist middle+/Senior;Москва;Мамаева Ирина Анатольевна;;spark, python, sql, machine learning, машинное обучение, docker, pandas, ml, airflow;От 3 до 6 лет;2023-04-26;250000;380000;RUR
79847436;Data Scientist;Data Scientist;Москва;Twinby;;data scientist, а/b тесты, switch back, sql, python, pandas, numpy, scikit-learn, tensorflow, pytorch, opencv2, pyspark;От 1 года до 3 лет;2023-04-26;;;
79811582;Data Scientist;Data Scientist;Москва;red_mad_robot;;;От 1 года до 3 лет;2023-04-26;;;
79769301;Data Scientist;Data scientist (computer vision);Москва;Гознак;;python, git, sql, java, hadoop, data scientist, computer vision;От 3 до 6 лет;2023-04-25;225000;;RUR
79904597;Data Scientist;Data scientist;Москва;Уральская горно-металлургическая компания;;;От 3 до 6 лет;2023-04-28;;;
79843140;Data Scientist;Data Scientist в Маркет;Москва;Яндекс;;;От 3 до 6 лет;2023-04-26;;;
79830140;Data Scientist;Data Scientist;Москва;IEK GROUP;;sql, python, olap (online analytical processing), аналитическое мышление, ms sql;От 3 до 6 лет;2023-04-26;;;
75789450;Data Scientist;Data Scientist;Москва;КСОР;;математическая статистика, pytorch, python, docker, linux, c++, mathematical statistics, нейросети, git, machine learning, computer vision, keras, tensorflow, алгоритмы, ml, opencv;От 3 до 6 лет;2023-04-26;220000;270000;RUR
70163749;Data Scientist;Data Scientist (middle/senior);Москва;Rubbles;;python, spark, sql, machine learning, pandas, машинное обучение, data science, big data;От 3 до 6 лет;2023-04-27;;400000;RUR
79909326;Data Scientist;NLP Data Scientist;Москва;СБЕР;;;От 1 года до 3 лет;2023-04-28;;;
77567000;Data Scientist;Senior\Middle Data Scientist (Big Data);Москва;ОТП Банк, АО (OTP bank);;python, sql, git;От 1 года до 3 лет;2023-04-26;250000;400000;RUR
79446454;Data Scientist;Head Data Scientist;Москва;Сеть Партнерств;;прогнозирование, python, sql, tableau, machine learning, data analysis, data science, git, анализ данных;От 3 до 6 лет;2023-04-26;350000;;RUR
77954455;Data Scientist;Data Scientist (Middle+);Москва;DIGINETICA;;scala, java, sql, анализ данных, python, elasticsearch, big data, с++, tensorflow, pytorch, scipy, numpy, pandas, word2vec, xgboost;От 1 года до 3 лет;2023-04-27;170000;240000;RUR
79927092;Data Scientist;Data Scientist;Москва;СБЕР;;;От 1 года до 3 лет;2023-04-28;;;
79735056;Data Scientist;Стажер Data Scientist (Sber AI Lab);Москва;СБЕР;;;От 1 года до 3 лет;2023-04-24;;;
79748204;Data Scientist;Data Scientist (ChatGPT);Москва;ЦУМ, ТД;;python, pytorch, ml, llm, tensorflow, keras, mathematical statistics, data science;От 1 года до 3 лет;2023-04-24;;;
78876532;Data Scientist;Эконометрист/Data scientist (Junior/Middle) в консалтинг;Москва;БСТ Менеджмент-Консалтинг;;;От 1 года до 3 лет;2023-04-28;40000;;RUR
79729655;Data Scientist;Data Scientist;Москва;СБЕР (ООО еАптека);;data science, machine learning, a/b тесты, python, bash, git, docker;От 1 года до 3 лет;2023-04-24;;;
79089106;Data Scientist;Data scientist (нестандартные ML-модели);Москва;Банк Хоум Кредит;;python, sql, ml, машинное обучение, uplift modeling, модели ценообразования, causal inference, git, linux, deep learning, apache spark;От 3 до 6 лет;2023-04-25;;;
79738826;Data Scientist;Data scientist;Москва;Банки.ру;;python, sql, cuda, data analysis, tensorflow;От 1 года до 3 лет;2023-04-24;;;
78758907;Data Scientist;Data Scientist middle/senior;Москва;X5 Tech;;python, hadoop, big data, machine learning;От 3 до 6 лет;2023-04-26;;;
78778781;Data Scientist;Senior Data scientist;Москва;AMarkets;;;От 3 до 6 лет;2023-04-27;326238;;RUR
78764927;Data Scientist;Разработчик в области машинного обучения и больших данных (Data Scientist);Москва;Ульянова Надежда Михайловна;;tensorflow, аналитическое мышление, анализ данных, разработка компьютерных игр, gamedev, python, удаленная работа, ml, машинное обучение, математический склад ума, гибкость мышления, решение нестандартных задач, нейросеть, keras, pytorch;От 1 года до 3 лет;2023-04-27;;;
77408771;Data Scientist;Data Scientist (Computer Vision);Москва;БиАйЭй-Технолоджиз;;python, pytorch, opencv, computer vision, tensorflow;От 3 до 6 лет;2023-04-24;;;
79720387;Data Scientist;Data Scientist;Москва;РОСБАНК;;python, математическое моделирование, sql, data science, big data, базы данных, spark, машинное обучение, математическая статистика, machine learning;От 3 до 6 лет;2023-04-24;;;
