id;spec;job_title;city;employer;schedule;experience;published;salary_from;salary_to;currency;skills
76290897;Аналитик BI;Аналитик BI / Аналитик Данных;Йошкар-Ола;iSpring;;;2023-03-27;80000;;RUR;аналитические исследования, business intelligence systems, business intelligence, power bi, ms sql, ms power bi, sql, анализ данных, умение анализировать, аналитические навыки
78911174;Аналитик BI;Разработчик Power BI/Аналитик (удаленная работа);Казань;Маяк;;;2023-04-04;;;;dax, ms sql, английский язык, postgresql, bi, tabular editor, dax studio, power query
78056951;Аналитик BI;Аналитик BI (отчетность DWH);Казань;Тинькофф;;;2023-03-14;;;;dwh, sql, big data, tableau, базы данных
78056949;Аналитик BI;Аналитик BI (отчетность DWH);Иннополис;Тинькофф;;;2023-03-14;;;;dwh, sql, big data, tableau, базы данных
76363324;Аналитик BI;Аналитик BI (отчетность DWH);Ижевск;Тинькофф;;;2023-03-26;;;;sql, tableau, powerbi, аналитика, data analysis, big data
78244251;Аналитик BI;Разработчик-аналитик BI (Qlik Sense/Qlik View);Ангарск;ITG;;;2023-03-20;100000;200000;RUR;sql, qlikview, business intelligence systems, qlik sense, аналитическое мышление, разработка технических заданий, etl, ms sql, ms sql server, бизнес-анализ, анализ данных, аналитика, bi, субд, база данных: olap
78244252;Аналитик BI;Разработчик-аналитик BI (Qlik Sense/Qlik View);Шелехов;ITG;;;2023-03-20;100000;200000;RUR;sql, qlikview, business intelligence systems, qlik sense, аналитическое мышление, разработка технических заданий, etl, ms sql, ms sql server, бизнес-анализ, анализ данных, аналитика, bi, субд, база данных: olap
78244250;Аналитик BI;Разработчик-аналитик BI (Qlik Sense/Qlik View);Иркутск;ITG;;;2023-03-20;100000;200000;RUR;sql, qlikview, business intelligence systems, qlik sense, аналитическое мышление, разработка технических заданий, etl, ms sql, ms sql server, бизнес-анализ, анализ данных, аналитика, bi, субд, база данных: olap
78641793;Аналитик BI;Бизнес-аналитик BI;Нижний Новгород;Гринатом;;;2023-04-04;;;;ms access, работа с базами данных, ms excel, анализ поведения пользователей, бизнес-аналитика, access, моделирование бизнес процессов
77970318;Аналитик BI;Старший аналитик (BI);Нижний Новгород;БФТ-Холдинг (Бюджетные и Финансовые Технологии);;;2023-03-13;;;;bpmn, ва, uml, субд, bi
78653996;Аналитик BI;Аналитик BI (удаленно);Нижний Новгород;Abi;;;2023-03-29;;;;sql, английский язык, ms sql, mac os, мобильность, cognos bi
69496408;Аналитик BI;BI аналитик;Нижний Новгород;Биохимический холдинг «Оргхим»;;;2023-03-17;;;;power bi, английский язык, аналитическое мышление, sql, ms powerpoint
78189872;Аналитик BI;BI аналитик;Нижний Новгород;AppScience;;;2023-03-17;;;;power bi, tableau, powerbi, sql, python
78489781;Аналитик BI;Аналитик BI;Кемерово;Уральская горно-металлургическая компания;;;2023-03-24;;;;
76029709;Аналитик BI;Ведущий BI-аналитик;Новосибирск;АйтиСФ;;;2023-04-05;100000;150000;RUR;sql, ms sql, английский язык, postgresql, ms sharepoint, power bi
78644211;Аналитик BI;BI-разработчик/BI-аналитик;Новосибирск;Группа компаний С7;;;2023-03-28;;;;sql, power bi, анализ данных, аналитическое мышление
78837566;Аналитик BI;Старший BI аналитик/Middle BI аналитик;Омск;ЭР-Телеком;;;2023-04-03;;;;ms visio, проектная документация, sql, разработка технических заданий, разработка инструкций, oracle bi
71402493;Аналитик BI;Аналитик BI (отчетность DWH);Омск;Тинькофф;;;2023-03-24;;;;sql, бизнес-анализ, tableau, apache zeppelin, greenplum, аналитическое мышление, отчетность, dwh
78189873;Аналитик BI;BI аналитик;Омск;AppScience;;;2023-03-17;;;;power bi, tableau, powerbi, sql, python
78964240;Аналитик BI;Бизнес-аналитик (BI-аналитика данных и бизнес-процессы);Москва;Дёке Экстружн;;;2023-04-05;230000;;RUR;power bi, аналитические исследования, анализ бизнес показателей, анализ данных, 1с: комплексная автоматизация, 1c erp, 1с: управление предприятием, автоматизация процессов, data analysis, 1с: управление торговлей, modus bi, ms excel, ms office, аналитическое мышление, расчет премий и бонусов, бизнес-моделирование, бизнес-анализ, описание бизнес-процессов
78694897;Аналитик BI;Аналитик данных / Data Analyst / BI-аналитик;Москва;Фрифлекс;;;2023-04-04;160000;;RUR;a/b тесты, product development, unit-экономика, sql, scrum, статистический анализ, scipy, статистика, анализ данных, pandas, tableau, mathematical statistics, математическая статистика, базы данных, bi, powerbi, python, git, business intelligence, power bi, data analysis, postgresql, анализ поведения пользователей
78414391;Аналитик BI;Аналитик BI;Москва;Фонд развития промышленности;;;2023-04-06;200000;;RUR;sql, power bi, ssrs, английский язык, business intelligence systems
79010563;Аналитик BI;Аналитик BI;Москва;Free Lines Company;;;2023-04-06;130000;160000;RUR;
78726950;Аналитик BI;BI аналитик;Москва;Social Media Holding;;;2023-04-05;;120000;RUR;business intelligence systems, аналитика, tableau, sql, python, power bi, математическая статистика, анализ бизнес показателей, ms power bi
78308032;Аналитик BI;Аналитик Power BI (стажер);Москва;Ельмикеев Евгений Иванович;;;2023-04-04;25000;;RUR;работа в команде, обучение и развитие, грамотная речь, power bi, аналитический склад ума, аналитическое мышление, работа с системами аналитики
78690171;Аналитик BI;Аналитик BI/ Ведущий аналитик BI;Москва;Гиперлайн;;;2023-04-03;130000;240000;RUR;
78590512;Аналитик BI;BI аналитик / Аналитик данных;Москва;БизнесАвтоматика, НПЦ;;;2023-04-05;;;;sql, ms visio, tableau, управление проектами, проектирование пользовательских интерфейсов, oracle pl/sql, python, ms powerpoint, субд, oracle bi, postgresql
75832792;Аналитик BI;Аналитик Power BI/ ETL- разработчик (Москва);Москва;Бристоль, сеть магазинов;;;2023-04-03;230000;230000;RUR;python, sql, git, power bi, dax, api, data analysis, ms power bi, аналитические навыки, statistics, information technology, оптимизация рабочего процесса, эффективность, серьезность
69975029;Аналитик BI;Коммерческий\BI аналитик;Москва;Делимобиль;;;2023-04-04;;;;python, sql, power bi, ms sql, powerbi, p&l
78881246;Аналитик BI;Аналитик BI;Москва;БАНК УРАЛСИБ;;;2023-04-04;;;;sql, аналитическое мышление, анализ данных, bi, отчетность
78420727;Аналитик BI;Аналитик BI;Москва;Ростелеком - Центры обработки данных;;;2023-04-05;;;;etl, sql, python, power bi
73015413;Аналитик BI;Аналитик данных / BI аналитик;Москва;Квиллис;;;2023-04-05;;;;python, sql
78032366;Аналитик BI;Руководитель отдела аналитики BI;Москва;Onescreen (ИП Попович Дмитрий Сергеевич);;;2023-04-04;;;;powerbi, dax, power query, ориентация на результат, работа в команде, обучение сотрудников, google sheets, продвинутый пользователь пк, sql, математическая статистика, аналитические способности
78135633;Аналитик BI;Аналитик (отчетность Power Bi);Москва;АБСОЛЮТ, Группа;;;2023-04-06;;;;ms sql, power bi, powerbi, google docs, google таблицы, google sheets, описание бизнес-процессов, энтузиазм, умение работать самостоятельно
79006939;Аналитик BI;BI-аналитик (Умные устройства);Москва;СБЕР;;;2023-04-06;;;;
78985663;Аналитик BI;BI Analyst;Москва;AB InBev Efes;;;2023-04-06;;;;
78398423;Аналитик BI;Веб-аналитик / Аналитик BI;Москва;НОВОСИСТЕМ;;;2023-04-06;;140000;RUR;vba, python, sql, google analytics, ms access, bl, b2b, business intelligence systems, power bi, tableau, qlik, data studio, google api, measurement protocol, а/в тесты, ms sql, ms sql server
78829788;Аналитик BI;BI Аналитик;Москва;Сравни;;;2023-04-03;;;;sql, аналитическое мышление, ms excel, power bi, python, dax, работа в команде
78840001;Аналитик BI;BI-аналитик;Москва;Полюс;;;2023-04-03;;;;
77831336;Аналитик BI;Бизнес-аналитик BI;Москва;Мастер Деливери;;;2023-04-04;;;;
78145358;Аналитик BI;BI аналитик;Москва;Лоция;;;2023-04-03;100000;;RUR;впр, bi
77889560;Аналитик BI;Аналитик BI (Optimacros);Москва;Мэврика;;;2023-04-06;;;;sql, tableau, английский язык, cognos bi, моделирование бизнес процессов, cognos, bi, анализ данных, business intelligence systems, data analysis, anaplan, управленческая отчетность, бюджетирование, участие в проекте внедрения, optimacros
77847583;Аналитик BI;Аналитик/BI-Analyst;Москва;Frame Moscow;;;2023-04-05;;;;автоматизация процессов, отчетность, 1с: розница, стандартизация бизнес процессов, обучение персонала, excel, работа в команде, работа в условиях многозадачности, умение аналитически мыслить, высокая ответственность
77763110;Аналитик BI;Аналитик данных / Разработчик BI;Москва;БАНК УРАЛСИБ;;;2023-04-03;;;;
77290087;Аналитик BI;Аналитик данных BI/SQL;Москва;ДОМ.РФ;;;2023-04-06;;;;sql, power bi, power query, excel, vba, dax
78371688;Аналитик BI;Junior Data Engineer/ BI Аналитик (Дашборды);Москва;ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»;;;2023-04-04;;;;английский язык, научные исследования, базы данных, python, анализ данных, аналитические исследования, аналитическое мышление
78938987;Аналитик BI;Аналитик BI;Москва;Иннотех, Группа компаний;;;2023-04-05;;;;sql, qlik sense, atlassian confluence, rest api, bi, atlassian jira
76294970;Аналитик BI;BI аналитик;Москва;РОССТ, РА;;;2023-04-03;;;;
77739307;Аналитик BI;Аналитик BI;Москва;Концерн Телематика;;;2023-04-05;;;;power bi, sql, ms sql, postgresql, tableau, powerbi, bi, metabase, redash, json api, rest api, etl
78423658;Аналитик BI;BI аналитик;Москва;Группа Самолет;;;2023-04-06;;;;sql, ms powerpoint, ms sql, python
77991683;Аналитик BI;BI-Аналитик;Москва;Московский ювелирный завод;;;2023-04-06;;;;power bi, анализ бизнес показателей, ms sql, аналитическое мышление, английский язык, аналитика, системное мышление
