id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
76279241;Аналитик данных;Аналитик данных;Казань;ТАТТЕЛЕКОМ;;ms excel, бизнес-анализ, аналитические исследования, qlik sense, анализ данных, базы данных, аналитическое мышление;От 1 года до 3 лет;2023-04-27;;;
78521948;Аналитик данных;Аналитик данных;Казань;Ак Барс Банк;;sql, работа с базами данных, английский язык, сводные таблицы, внимательность, ответственность, работа с большим объемом информации;От 1 года до 3 лет;2023-04-19;47000;;RUR
78345488;Аналитик данных;Аналитик данных;Казань;Университет Иннополис;;анализ данных, tableau, статистический анализ, sql, power bi;От 1 года до 3 лет;2023-04-18;;;
79479573;Аналитик данных;Аналитик данных;Казань;Магнетто;;power bi, sql, powerbi, базы данных, ms excel;От 1 года до 3 лет;2023-04-18;;;
78054272;Аналитик данных;Старший аналитик данных CV;Казань;Северсталь;;opencv, аналитическое мышление, python, deep learning;От 3 до 6 лет;2023-04-13;;;
77711309;Аналитик данных;Аналитик данных;Казань;Ак Барс Банк;;;От 1 года до 3 лет;2023-04-11;65000;;RUR
79117415;Аналитик данных;Аналитик данных (Senior/Middle+);Казань;Тинькофф;;;Более 6 лет;2023-04-10;;200000;RUR
78904415;Аналитик данных;Старший эксперт клиентского анализа (аналитик данных);Казань;Ак Барс Банк;;;От 1 года до 3 лет;2023-04-04;59700;;RUR
77621497;Аналитик данных;Разработчик/аналитик хранилищ данных (Общеплатформенные сервисы);Казань;Иннотех, Группа компаний;;субд, arenadata, oracle, ms sql, sql, анализ данных, c++, bitbucket, python, team city, airflow;От 3 до 6 лет;2023-03-29;;;
79027297;Аналитик данных;Аналитик данных;Ижевск;Ростелеком;;ms excel, аналитические исследования, экономический анализ, продвинутый пользователь пк, готовность обучаться, креативность, анализ данных, работа с большим объемом информации, гибкость мышления, аналитическое мышление;Нет опыта;2023-04-07;35000;;RUR
77992314;Аналитик данных;Аналитик данных;Чебоксары;Limex;;sql, vba, data mining, android, прогнозирование, анализ бизнес показателей;От 1 года до 3 лет;2023-04-26;;;
79699299;Аналитик данных;Аналитик данных;Красноярск;АЛЬТ-ПЛАСТ;;ms excel, анализ бизнес показателей, аналитика продаж, power query, power pivot;От 1 года до 3 лет;2023-04-24;45000;50000;RUR
78429464;Аналитик данных;Аналитик данных в отдел маркетинга;Красноярск;Красноярский завод холодильников Бирюса;;;От 3 до 6 лет;2023-04-28;35000;;RUR
79130507;Аналитик данных;Преподаватель курса Аналитик Данных;Красноярск;ЭДУТЕХ ГРУПП;;;От 1 года до 3 лет;2023-04-11;;;
79889720;Аналитик данных;Аналитик данных (Экономическая безопасность);Нижний Новгород;ЗАВОД КРАСНЫЙ ЯКОРЬ;;аналитик данных, экономическая безопасность, 1с;Нет опыта;2023-04-27;60000;;RUR
79578743;Аналитик данных;Аналитик данных (Python-разработчик);Нижний Новгород;АНО АЦГ;;python, postgresql, sql, аналитика, базы данных, аналитическое мышление, yandex.datalens;От 1 года до 3 лет;2023-04-26;;;
79834713;Аналитик данных;Аналитик данных;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-04-26;;;
79835994;Аналитик данных;Эксперт-аналитик данных;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-04-26;;;
79756342;Аналитик данных;Аналитик данных;Нижний Новгород;СБЕР;;;От 1 года до 3 лет;2023-04-25;;;
79317461;Аналитик данных;Аналитик данных;Нижний Новгород;ГНИВЦ;;sql;От 3 до 6 лет;2023-04-25;;;
76784959;Аналитик данных;Data Analyst / Аналитик данных;Нижний Новгород;Кредиска МКК;;python, sql, data analysis, postgresql, machine learning, математическая статистика, r, stata, statistica, spss;От 1 года до 3 лет;2023-04-26;;150000;RUR
79664162;Аналитик данных;Аналитик базы данных (удаленная работа из дома);Нижний Новгород;ИПЦ Консультант+Аскон;;;От 1 года до 3 лет;2023-04-21;40000;45000;RUR
79471102;Аналитик данных;Аналитик отчётности и баз данных;Нижний Новгород;ЭОС;;sap bi, продвинутый пользователь пк, bi;От 1 года до 3 лет;2023-04-18;;;
79223944;Аналитик данных;Аналитик данных (сельское хозяйство);Нижний Новгород;ГК АГАТ;;ms word, ms excel, многозадачность, отличное знание пк, базовые знания 1с;Нет опыта;2023-04-19;40000;50000;RUR
78054273;Аналитик данных;Старший аналитик данных CV;Нижний Новгород;Северсталь;;opencv, аналитическое мышление, python, deep learning;От 3 до 6 лет;2023-04-13;;;
79157478;Аналитик данных;Data Analyst / Аналитик данных;Нижний Новгород;Некст Левел;;python, sql, базы данных, numpy, data analysis, удаленная работа, pandas, google analytics, яндекс.метрика;От 1 года до 3 лет;2023-04-11;60000;;RUR
78855362;Аналитик данных;Аналитик данных / Data Analyst / Data Scientist;Нижний Новгород;DEERAY;;python, jupyter notebook, business intelligence systems, data analysis, анализ данных, аналитическое мышление, big data, ml, ms excel, etl, a/b тесты, mathematical statistics, sql, power query, работа в команде, data science, математическая статистика, регрессионный анализ, статистический анализ, git;От 3 до 6 лет;2023-04-03;80000;;RUR
78443447;Аналитик данных;Системный аналитик / Разработчик баз данных;Нижний Новгород;ГК АГАТ;;ms sql, postgresql, vba, clickhouse, с#, python, ms sql server, базы данных, data science;От 3 до 6 лет;2023-04-17;;;
77621491;Аналитик данных;Разработчик/аналитик хранилищ данных (Общеплатформенные сервисы);Нижний Новгород;Иннотех, Группа компаний;;субд, arenadata, oracle, ms sql, sql, анализ данных, c++, bitbucket, python, team city, airflow;От 3 до 6 лет;2023-04-13;;;
77370814;Аналитик данных;Аналитик данных (Владимир);Рязань;Abi;;power bi, power pivot, ms excel, факторный анализ, power query, python;Нет опыта;2023-04-21;;;
79891448;Аналитик данных;Финансовый аналитик (большие базы данных);Бийск;Всесезонный курорт Манжерок;;;От 3 до 6 лет;2023-04-27;;;
78809962;Аналитик данных;Аналитик данных;Новосибирск;Шахматов Александр Сергеевич;;ms power bi, excel, английский язык;Нет опыта;2023-04-27;;100000;RUR
78746121;Аналитик данных;Аналитик данных;Новосибирск;Партнёрская сеть магазинов Бренда Монро;;ценообразование, аналитическое мышление, abc-анализ, аналитика, контроль и анализ ценообразования, excel, розничные продажи;От 1 года до 3 лет;2023-04-27;70000;;RUR
79891447;Аналитик данных;Финансовый аналитик (большие базы данных);Новосибирск;Всесезонный курорт Манжерок;;;От 3 до 6 лет;2023-04-27;;;
79232530;Аналитик данных;Аналитик данных;Новосибирск;Центр финансовых технологий;;ms powerpoint, работа в команде, анализ данных, деловое общение, vba;От 1 года до 3 лет;2023-04-24;;;
79661029;Аналитик данных;Аналитик данных в отдел аудита;Новосибирск;СБЕР;;;Нет опыта;2023-04-21;;;
67224916;Аналитик данных;Аналитик (хранилище данных);Новосибирск;Группа компаний С7;;sql, анализ данных, data analysis;От 1 года до 3 лет;2023-04-24;;;
79117416;Аналитик данных;Аналитик данных (Senior/Middle+);Новосибирск;Тинькофф;;;Более 6 лет;2023-04-10;;200000;RUR
77800028;Аналитик данных;Аналитик (больших данных);Новосибирск;ГБУЗ НСО МИАЦ;;python, sql, bpmn, uml, oracle pl/sql;От 1 года до 3 лет;2023-04-10;60000;60000;RUR
78890801;Аналитик данных;Аналитик данных;Новосибирск;Aurus;;аналитика данных, elastic search, lucene, grafana, logstash, kafka;От 3 до 6 лет;2023-04-04;;;
78723382;Аналитик данных;Аналитик/Разработчик проверки качества данных;Омск;СБЕР;;;От 1 года до 3 лет;2023-03-30;110000;170000;RUR
79891449;Аналитик данных;Финансовый аналитик (большие базы данных);Горно-Алтайск;Всесезонный курорт Манжерок;;;От 3 до 6 лет;2023-04-27;;;
79890199;Аналитик данных;Аналитик Данных;Томск;Обрсоюз;;;От 3 до 6 лет;2023-04-27;;;
79919594;Аналитик данных;Аналитик данных;Москва;Автомакон;;python, pandas, sql, ml;От 1 года до 3 лет;2023-04-28;110000;250000;RUR
78964240;Аналитик данных;Аналитик данных;Москва;Дёке Экстружн;;power bi, аналитические исследования, анализ бизнес показателей, анализ данных, 1с: комплексная автоматизация, 1c erp, 1с: управление предприятием, автоматизация процессов, data analysis, 1с: управление торговлей, modus bi, ms excel, ms office, аналитическое мышление, расчет премий и бонусов, бизнес-моделирование, бизнес-анализ, описание бизнес-процессов;От 3 до 6 лет;2023-04-26;230000;;RUR
79500682;Аналитик данных;Аналитик данных;Москва;Лента, федеральная розничная сеть;;аналитическое мышление, sql, python, power bi;От 1 года до 3 лет;2023-04-28;;;
79795192;Аналитик данных;Аналитик данных / Специалист по работе с базами данных;Москва;Гринпис (Greenpeace);;английский язык, ms access, ms powerpoint, работа с базами данных, google docs, работа с большим объемом информации, базы данных, умение работать в коллективе, microsoft access, sql;От 1 года до 3 лет;2023-04-25;91900;114700;RUR
79105527;Аналитик данных;Аналитик данных (удаленно, онлайн-школа);Москва;Ameli Soul;;аналитическое мышление, анализ данных, деловое общение, ориентация на результат, ms powerpoint, работа с большим объемом информации, умение слушать и слышать;От 1 года до 3 лет;2023-04-28;70000;;RUR
79774234;Аналитик данных;Аналитик данных (IT департамент);Москва;Форум-Авто;;английский язык, etl, аналитика, визуализация данных, ms sql, qilik;От 1 года до 3 лет;2023-04-25;205000;205000;RUR
79903357;Аналитик данных;Аналитик данных;Москва;Северсталь;;субд, работа с базами данных, sql, power bi;От 1 года до 3 лет;2023-04-28;;;
79893566;Аналитик данных;Junior Аналитик Данных в продукт Smart Rollout (Big Data);Москва;МТС;;sql, python, spark;От 1 года до 3 лет;2023-04-27;;;
78721862;Аналитик данных;Аналитик ГЕО данных;Москва;ГАУ ИНСТИТУТ ГЕНПЛАНА МОСКВЫ;;qgis, arcgis, гис, sql, postgresql;От 1 года до 3 лет;2023-04-26;110000;;RUR
79841648;Аналитик данных;Аналитик баз данных (статистика);Москва;Росагролизинг;;;От 1 года до 3 лет;2023-04-26;;;
79839563;Аналитик данных;Аналитик данных / Data Analyst;Москва;Марс;;;От 1 года до 3 лет;2023-04-26;;;
