id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79887938;Бизнес-аналитик;Бизнес-аналитик;Казань;ИнноГеоТех;;bpmn, uml, бизнес-анализ, моделирование бизнес процессов, user story, use case analysis;От 1 года до 3 лет;2023-04-27;;;
79866937;Бизнес-аналитик;Бизнес-аналитик;Казань;Бизапс;;bpmn, бизнес-анализ, моделирование бизнес процессов, оптимизация бизнес-процессов, постановка задач разработчикам, разработка технических заданий, crm, erp;От 3 до 6 лет;2023-04-27;150000;;RUR
79644366;Бизнес-аналитик;Бизнес-аналитик (технический писатель);Казань;SMART-SHOP;;;От 1 года до 3 лет;2023-04-27;80000;100000;RUR
55091377;Бизнес-аналитик;Бизнес-аналитик в энергетической сфере (стажер);Казань;СОВременные ТЕХнологии, ГК;;системное мышление, аналитическое мышление, управление проектами, работа с большим объемом информации, ориентация на результат, планирование карьеры, работа в команде, руководство коллективом, описание бизнес-процессов;Нет опыта;2023-04-27;40000;55000;RUR
79832621;Бизнес-аналитик;Бизнес-аналитик;Казань;Университет Иннополис;;bpmn, бизнес-анализ, ms sql, моделирование бизнес процессов, figma, аналитическое мышление, uml;От 3 до 6 лет;2023-04-26;;;
79835383;Бизнес-аналитик;Бизнес-аналитик / Экономист-аналитик;Казань;Vagimagia;;бизнес-анализ, оптимизация бизнес-процессов, деловая коммуникация, ms access, ms excel, ориентация на результат, аналитическое мышление, анализ данных, статистический анализ, аналитические исследования, факторный анализ, анализ финансовых показателей, экономический анализ, анализ бизнес показателей;От 3 до 6 лет;2023-04-26;70000;;RUR
78673226;Бизнес-аналитик;Бизнес-аналитик;Казань;Проекты и Решения, Центр информационных технологий;;;От 1 года до 3 лет;2023-04-25;;;
78973292;Бизнес-аналитик;Бизнес-аналитик;Казань;Энергобанк, АКБ;;ms visio, аналитическое мышление, ms powerpoint, бизнес-анализ, анализ данных;От 1 года до 3 лет;2023-04-25;;95000;RUR
79072872;Бизнес-аналитик;Бизнес-аналитик;Казань;Точка отсчёта;;бизнес-анализ, cjm, use case analysis, uml, моделирование бизнес процессов, аналитика;От 1 года до 3 лет;2023-04-25;;160000;RUR
79834936;Бизнес-аналитик;Бизнес-аналитик по автоматизации процессов отчетности;Казань;МАГНИТ, Розничная сеть;;olap кубы, корпоративное хранилище данных, excel, sql, бизнес-анализ;От 1 года до 3 лет;2023-04-26;;;
79044603;Бизнес-аналитик;Бизнес аналитик (удаленно);Казань;Инсайрес;;ms visio, бизнес-анализ, разработка технических заданий, аналитическое мышление, atlassian confluence, анализ требований, управление требованиями, техническая документация, uml, agile project management, atlassian jira, hypersonic sql, ms sql, системный анализ, работа в команде;От 3 до 6 лет;2023-04-25;;;
77613123;Бизнес-аналитик;Бизнес-аналитик;Казань;Delko;;формирование управленческой отчетности, расчет и анализ себестоимости продукции и услуг, экономика, умение работать в условиях многозадачности, выполнение поставленных задач, эффективность;От 1 года до 3 лет;2023-04-24;60000;;RUR
79176830;Бизнес-аналитик;Менеджер по продажам корпоративных ERP проектов/Бизнес-аналитик;Казань;Assino, Группа компаний;;бизнес-анализ, управление отношениями с клиентами, консалтинг, навыки делового общения, корпоративные продажи, erp, sap erp, 1с: управление предприятием, заключение договоров, управление продажами, бизнес-консультирование, работа с ключевыми клиентами;От 3 до 6 лет;2023-04-26;80000;160000;RUR
76953260;Бизнес-аналитик;Бизнес-аналитик;Казань;Эттон;;разработка технических заданий, работа в команде, аналитическое мышление, постановка задач разработчикам, разработка проектной документации;От 1 года до 3 лет;2023-04-24;;;
79718862;Бизнес-аналитик;Бизнес-аналитик (ИТ);Казань;Смайл Лоджистик;;складская логистика, бизнес-анализ, автоматизация склада, анализ данных, анализ бизнес-процессов;От 1 года до 3 лет;2023-04-24;;;
79709832;Бизнес-аналитик;Ведущий бизнес-аналитик (экономист);Казань;Delko;;бюджетирование, высшее образование, анализ данных, аналитическое мышление, расстановка приоритетов, системность, интерпретация экономических показателей;От 3 до 6 лет;2023-04-24;90000;;RUR
78742016;Бизнес-аналитик;Бизнес-Аналитик службы по МЧ (г. Владимир);Казань;Abi;;;От 1 года до 3 лет;2023-04-25;;;
79665541;Бизнес-аналитик;Бизнес аналитик;Казань;ЮНИКОМ;;bpmn, sql, бизнес-анализ, разработка технических заданий;От 3 до 6 лет;2023-04-21;;;
78525746;Бизнес-аналитик;Бизнес-аналитик отдела информационных систем;Набережные Челны;Агросила;;"хорошее знание пк (excel, visio, power bi, word);";От 1 года до 3 лет;2023-04-23;85000;115000;RUR
