id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
74007023;Дата-инженер;Data-инженер/Дата-инженер/Инженер данных;Нижний Новгород;Синергетик;;hadoop, hive, python, etl, sql, big data, powerbi, microsoft access, точность и внимательность к деталям, работа с базами данных;От 1 года до 3 лет;2023-03-16;;;
77839478;Дата-инженер;Ведущий инженер по механическим системам дата-центра;Сасово;Яндекс;;autocad, инженерные системы, техническая эксплуатация, управление проектами, охрана труда и техника безопасности;Более 6 лет;2023-04-05;;;
78294668;Дата-инженер;Дежурный инженер Дата-центра;Сасово;Яндекс;;инженерные системы, техническая эксплуатация, ввод в эксплуатацию, эксплуатация;От 3 до 6 лет;2023-03-20;;;
73037198;Дата-инженер;Дата-инженер;Москва;Mediascope;;аналитическое мышление, работа с большим объемом информации, python, sql, itil, hadoop, big data, spark, управление качеством, мониторинг, postgresql, контроль качества, анализ данных, работа с базами данных;От 3 до 6 лет;2023-04-04;;;
78982410;Дата-инженер;Дата-инженер;Москва;билайн;;spark, airflow, scala, sql, python, big data, kafka, hadoop, базы данных, etl;От 1 года до 3 лет;2023-04-06;;;
78754049;Дата-инженер;Дата-инженер;Москва;Дельта Джи;;работа с большим объемом информации, высокая энергичность и инициативность, знание программ, ответственный подход к работе;Нет опыта;2023-04-06;70000;70000;RUR
78954091;Дата-инженер;Data Engineer / Дата-инженер (Middle);Москва;Платформа Больших Данных;;sql, scala, spark, hadoop, hive, python, airflow, docker, big data;От 1 года до 3 лет;2023-04-05;250000;300000;RUR
78154515;Дата-инженер;Дата-инженер;Москва;ЛогЛаб;;;От 3 до 6 лет;2023-04-04;130000;;RUR
79002986;Дата-инженер;Дата инженер;Москва;Группа страховых компаний Югория;;;От 1 года до 3 лет;2023-04-06;;;
78662144;Дата-инженер;Дата инженер (NiFi);Москва;Goodt;;sql, ms access, работа с базами данных, базы данных, аналитическое мышление, apache nifi, etl;От 1 года до 3 лет;2023-04-05;;;
71486349;Дата-инженер;Администратор/инженер виртуальной инфраструктуры дата центра;Москва;24Н Софт;;vmware, linux, zabbix, kvm, tcp/ip, настройка серверов, резервное копирование, администрирование серверов, nsx-t, vmware vcloud director;От 3 до 6 лет;2023-04-06;180000;;RUR
78657775;Дата-инженер;Дата-инженер;Москва;Альфа-Банк;;;От 1 года до 3 лет;2023-03-29;;;
78687350;Дата-инженер;Дата инженер каталога данных;Москва;УРАЛХИМ;;;От 3 до 6 лет;2023-03-29;;;
75718905;Дата-инженер;Data Engineer / дата-инженер (senior/ middle);Москва;S8 Capital;;clickhouse, sql, инженер данных, дата-инженер, data-инженер, dwh, datalens;От 3 до 6 лет;2023-04-05;;;
78522729;Дата-инженер;Дата инженер;Москва;СБЕР;;;От 1 года до 3 лет;2023-03-24;;;
76859360;Дата-инженер;Ведущий дата-инженер;Москва;Mediascope;;sql, системный подход, hadoop, spark, linux, etl, big data, аналитическое мышление, системное мышление, аналитика, python, базы данных, анализ данных;От 3 до 6 лет;2023-03-22;;;
78255940;Дата-инженер;Дата инженер;Москва;Эн+ Групп;;;От 1 года до 3 лет;2023-03-20;;;
76519948;Дата-инженер;Дата инженер;Москва;СБЕР;;;От 1 года до 3 лет;2023-03-10;;;
