id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
77856587;Маркетинговый аналитик;Менеджер-аналитик по маркетингу;Томск;Томскнефтепродукт;;организаторские навыки, ms powerpoint, подготовка презентаций, аналитическое мышление, составление бизнес-плана;От 3 до 6 лет;2023-03-15;70000;;RUR
78756544;Маркетинговый аналитик;Маркетинговый аналитик;Москва;MANLY PRO;;аналитическое мышление, маркетинговый анализ, ведение отчетности, конкурентный анализ, аналитические исследования, swot анализ, анализ рынка, умение работать в условиях многозадачности, анализ конкурентов, анализ целевой аудитории, анализ конкурентной среды, исследования рынка, маркетинг, анализ данных, аналитика;От 3 до 6 лет;2023-04-06;;;
78124640;Маркетинговый аналитик;Маркетинговый аналитик;Москва;ФЛАУВАУ;;python, sql, numpy, jupyter notebook;От 1 года до 3 лет;2023-04-06;;;
78916472;Маркетинговый аналитик;Маркетинговый аналитик (Долями);Москва;Тинькофф;;;От 1 года до 3 лет;2023-04-04;;;
77809022;Маркетинговый аналитик;Аналитик по маркетингу;Москва;ДИКСИ, группа компаний;;ms sql server, sql, ms sql, ms visual basic, powerbi, умение работать с большим количеством информации, аналитическое мышление, аналитические навыки;От 1 года до 3 лет;2023-04-04;140000;140000;RUR
78837606;Маркетинговый аналитик;Аналитик-исследователь (Маркетинговая служба);Москва;Почта Банк;;маркетинговый анализ, математическое моделирование, аналитические исследования, прогнозирование, sql, анализ данных, математическая статистика, ms sql, базы данных, автоматизация управленческой отчетности, office, маркетинговая стратегия, vba, макросы, разработка отчетности, мобильная аналитика, интернет-аналитик, тендеры;От 1 года до 3 лет;2023-04-03;;;
75850870;Маркетинговый аналитик;Marketing Analyst / Маркетинговый аналитик;Москва;Go Ahead;;;От 1 года до 3 лет;2023-03-31;;;
77932003;Маркетинговый аналитик;Маркетинговый аналитик;Москва;Новыченко Антонина Александровна;;;От 3 до 6 лет;2023-04-05;;;
71715375;Маркетинговый аналитик;Маркетинговый аналитик;Москва;СберМаркет;;python, sql, data analysis;От 1 года до 3 лет;2023-03-28;;;
78666227;Маркетинговый аналитик;Маркетинговый аналитик;Москва;РобоФинанс;;;От 1 года до 3 лет;2023-03-29;;;
78638826;Маркетинговый аналитик;Маркетинговый аналитик;Москва;MERLION;;power query, python, google analytics, яндекс.метрика, веб-аналитика, powerbi, sql, аналитика;От 1 года до 3 лет;2023-03-28;;;
78687526;Маркетинговый аналитик;Аналитик ( группа аналитики и маркетинговых исследований );Москва;МТС;;;От 1 года до 3 лет;2023-03-29;;;
78179782;Маркетинговый аналитик;Маркетинговый аналитик;Москва;VK;;маркетинговый анализ, ms sql, python;От 1 года до 3 лет;2023-03-17;;;
