id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
77014682;Продуктовый аналитик;Аналитик продуктовый;Йошкар-Ола;TravelLine;;математическая статистика, sql, clickhouse, python, power bi, анализ данных;От 1 года до 3 лет;2023-03-17;;;
78290487;Продуктовый аналитик;Продуктовый аналитик;Казань;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-03-20;;;
77817254;Продуктовый аналитик;Продуктовый аналитик;Казань;Aston;;etl, google analytics, appsflyer, firebase, mixpanel, яндекс.метрика, hadoop, oracle, google bigquery, tableau, ms power bi, datalens, superset;От 1 года до 3 лет;2023-03-09;;;
77902336;Продуктовый аналитик;Бизнес аналитик/Руководитель проектов внедрения ИТ продуктов (Казань);Казань;Интелкон;;управление проектами, ведение переговоров, деловая коммуникация, навыки презентации, проведение презентаций, проектный менеджмент, ориентация на результат, строительство, ит проекты, it проект;От 3 до 6 лет;2023-03-10;150000;200000;RUR
78622592;Продуктовый аналитик;Консультант-аналитик по внедрению продуктов оптимизации на производственных предприятиях;Набережные Челны;BFG Group;;управление командой, управление проектами, стратегический консалтинг, ведение переговоров, деловая переписка, проведение презентаций, обучение пользователей, toc, qrm, lean;От 3 до 6 лет;2023-03-28;70000;;RUR
78265524;Продуктовый аналитик;Аналитик продуктов виртуализации;Казань;НИИ МАСШТАБ;;vmware, hyper-v, linux, unix, логика, техническое задание, docker, kubernetes;От 3 до 6 лет;2023-03-20;;;
78367419;Продуктовый аналитик;Консультант-аналитик по внедрению продуктов оптимизации на производственных предприятиях;Ижевск;BFG Group;;управление командой, управление проектами, стратегический консалтинг, ведение переговоров, деловая переписка, проведение презентаций, обучение пользователей, toc, qrm, lean;От 3 до 6 лет;2023-03-21;;;
78799267;Продуктовый аналитик;Маркетолог - аналитик/ продуктовый менеджер;Чебоксары;Завод игрового спортивного оборудования;;работа с большим объемом информации, работа с базами данных, abc-анализ, ответственность, исполнительность, аналитический склад ума;От 1 года до 3 лет;2023-04-02;40000;;RUR
78327979;Продуктовый аналитик;Продуктовый аналитик;Якутск;MOST (ИП Филиппов Прокопий Максимович);;работа с большим объемом информации, аналитическое мышление, google docs, анализ поведения пользователей, удаленная работа, аналитические навыки;От 1 года до 3 лет;2023-03-21;;;
78290489;Продуктовый аналитик;Продуктовый аналитик;Нижний Новгород;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-03-20;;;
77752337;Продуктовый аналитик;Системный аналитик (Центр разработки продуктов для физических лиц);Нижний Новгород;Бэнкс Софт Системс;;sql, бизнес-анализ, oracle, bpmn, uml, atlassian jira, разработка технических заданий;Нет опыта;2023-04-05;;;
77993039;Продуктовый аналитик;Маркетолог-аналитик / Категорийный менеджер в группе продуктового развития;Рязань;Everest Partner;;деловая коммуникация, анализ конкурентной среды, анализ ассортиментной линейки, анализ финансовых показателей, маркетинговая стратегия, умение работать в условиях многозадачности, работа в команде, пользователь пк, работа с большим объемом информации, поиск информации в интернет, анализ бизнес показателей, запуск международных рекламных кампаний, планирование рекламных кампаний, базы данных;От 1 года до 3 лет;2023-03-13;;;
78793744;Продуктовый аналитик;Начинающий продуктовый аналитик;Новосибирск;Диджитал Клаудс;;;Нет опыта;2023-04-04;30000;60000;RUR
78896591;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;СДЭК;;uml, bpmn, confluence, atlassian jira, soap;От 1 года до 3 лет;2023-04-04;;;
78399542;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;РОССКО;;python, sql, аналитическое мышление, a/b тесты, аналитика, аналитические исследования, анализ данных;От 3 до 6 лет;2023-03-22;;210000;RUR
78290485;Продуктовый аналитик;Продуктовый аналитик;Новосибирск;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-03-20;;;
78265519;Продуктовый аналитик;Аналитик продуктов виртуализации;Новосибирск;НИИ МАСШТАБ;;vmware, hyper-v, linux, unix, логика, техническое задание, docker, kubernetes;От 3 до 6 лет;2023-03-20;;;
77860368;Продуктовый аналитик;Системный аналитик (интеграции розничных и корпоративных банковских продуктов);Новосибирск;Совкомбанк Технологии;;;От 1 года до 3 лет;2023-03-10;;;
78265525;Продуктовый аналитик;Аналитик продуктов виртуализации;Омск;НИИ МАСШТАБ;;vmware, hyper-v, linux, unix, логика, техническое задание, docker, kubernetes;От 3 до 6 лет;2023-03-20;;;
78155126;Продуктовый аналитик;Продуктовый аналитик;Томск;ИнфоТеКС;;uml, bpmn, системный анализ, бизнес-анализ, управление требованиями, информационная безопасность;От 3 до 6 лет;2023-03-16;;;
76324517;Продуктовый аналитик;Продуктовый аналитик;Томск;Сириус;;ms sql, статистический анализ, математическая статистика, sql, анализ данных;От 3 до 6 лет;2023-03-23;60000;;RUR
78290488;Продуктовый аналитик;Продуктовый аналитик;Томск;2ГИС;;ml, python, sql, a/b тесты, google analytics, яндекс.метрика;От 3 до 6 лет;2023-03-20;;;
