id;spec;job_title;city;employer;schedule;skills;experience;published;salary_from;salary_to;currency
79099004;Системный аналитик;System Analyst \ Системный Аналитик;Йошкар-Ола;Aston;;rest, bpmn, uml, api, jira, agile, scrum, kanban;От 3 до 6 лет;2023-04-10;;;
79720769;Системный аналитик;Системный аналитик (Junior);Казань;TeamLead;;sql, graphql, удаленная работа;От 1 года до 3 лет;2023-04-24;50000;80000;RUR
76763226;Системный аналитик;Системный аналитик (junior);Казань;БАРС Груп;;sql, аналитический склад ума, моделирование бизнес процессов, постановка задач разработчикам, базы данных, блок-схемы, rest, soap, системный анализ;От 1 года до 3 лет;2023-04-25;;;
79512675;Системный аналитик;Системный аналитик;Казань;Эйби Флоу;;;От 1 года до 3 лет;2023-04-28;120000;;RUR
79307588;Системный аналитик;Ведущий системный аналитик;Казань;Дион Софт;;постановка задач разработчикам, разработка технических заданий, бизнес-анализ, atlassian confluence, agile, автоматизация бизнес-процессов, jira, анализ бизнес-процессов, стремление к профессиональному росту, высокая энергичность и инициативность, внимательность, ответственность, умение работать с большим количеством информации, системность, работа в условиях многозадачности, json, xml, системное мышление;От 3 до 6 лет;2023-04-14;120000;;RUR
79595542;Системный аналитик;Системный аналитик;Казань;ГИСГИС;;sql, написание технических заданий, analysis;От 1 года до 3 лет;2023-04-26;;;
78688527;Системный аналитик;Ведущий системный аналитик (интеграция);Казань;Сеть Партнерств;;sql, uml, bpmn, системный анализ, сбор и анализ информации, анализ требований, коммуникация, взаимодействие с заказчиком, умение работать в условиях многозадачности, системность, микросервисы, idef0, работа с системами аналитики;Более 6 лет;2023-04-28;250000;;RUR
79878888;Системный аналитик;Системный аналитик;Казань;Miles&Miles;;системный анализ, rest api, моделирование бизнес процессов, анализ данных;От 1 года до 3 лет;2023-04-27;;;
79053444;Системный аналитик;Системный аналитик;Казань;ИнноГеоТех;;аналитическое мышление, аналитика, многозадачность, системный анализ, uml, bpmn, моделирование бизнес процессов, субд, sql, гис, use case analysis;От 1 года до 3 лет;2023-04-28;;;
79586004;Системный аналитик;Младший системный аналитик;Казань;ДЕКА;;sql, постановка задач разработчикам, базы данных, аналитическое мышление, разработка технических заданий;Нет опыта;2023-04-20;50000;;RUR
78105838;Системный аналитик;Системный аналитик (Senior);Казань;Лоция;;ms visio, bpmn, бизнес-анализ, uml, разработка проектной документации, scrum, sql, системный анализ, разработка технических заданий;От 3 до 6 лет;2023-04-26;200000;;RUR
79453778;Системный аналитик;Системный аналитик;Казань;MPI;;scrum, sql, system analyst, advanced business analyst, project management, agile project management;От 1 года до 3 лет;2023-04-27;;;
78105856;Системный аналитик;Системный аналитик (Senior);Казань;Лоция;;ms visio, bpmn, бизнес-анализ, uml, разработка проектной документации, scrum, sql, системный анализ, разработка технических заданий;От 3 до 6 лет;2023-04-26;200000;;RUR
77440477;Системный аналитик;Системный Аналитик МП Халва;Казань;Совкомбанк Технологии;;;От 1 года до 3 лет;2023-04-26;;;
79672435;Системный аналитик;Системный аналитик;Казань;SOKOLOV;;uml, sql, bpmn, xml;От 1 года до 3 лет;2023-04-21;;;
79920400;Системный аналитик;Бизнес/системный аналитик;Казань;IBS;;;От 1 года до 3 лет;2023-04-28;;;
