id;spec;job_title;city;employer;schedule;published;salary_from;salary_to;currency
76843789;Финансовый аналитик;Помощник финансового аналитика;Москва;Линфан;Удаленная работа;2023-03-03;60000;90000;RUR
77670017;Финансовый аналитик;Финансовый аналитик;Москва;Росток-СТ;Полный день;2023-03-04;100000;150000;RUR
77549480;Финансовый аналитик;Финансовый контролер/аналитик (г. Клин, Московская обл.);Тверь;Гудфлорс;Полный день;2023-03-01;70000;;RUR
77558395;Финансовый аналитик;Финансовый аналитик;Москва;Немцов Сергей Александрович;Полный день;2023-03-01;79500;100000;RUR
73984146;Финансовый аналитик;Финансовый аналитик;Владивосток;Проект;Полный день;2023-03-01;85000;;RUR
77658766;Финансовый аналитик;Финансовый аналитик/квант/алгоритмическая торговля;Москва;Держава , АКБ;Полный день;2023-03-03;;;
77014554;Финансовый аналитик;Стажер в Отдел финансового анализа;Москва;РН Банк;Полный день;2023-03-02;;;
77105275;Финансовый аналитик;Финансовый аналитик;Новосибирск;МТС;Полный день;2023-02-27;;;
76708245;Финансовый аналитик;Младший финансовый аналитик;Луховицы;Чароен Покпанд Фудс, ООО  (зарубежные инвестиции);Полный день;2023-03-01;;;
77298981;Финансовый аналитик;Финансовый аналитик (Ритейл);Москва;Crocus Group;Полный день;2023-03-03;;;
76502705;Финансовый аналитик;Младший специалист отдела финансового анализа;Москва;PRIDEX Group;Полный день;2023-03-01;;60000;RUR
77373284;Финансовый аналитик;Финансовый аналитик;Москва;Росток-СТ;Полный день;2023-02-24;100000;150000;RUR
76912917;Финансовый аналитик;Финансовый аналитик/Экономист;Москва;Знак;Полный день;2023-03-03;;;
77083606;Финансовый аналитик;Финансовый аналитик;Москва;Ташир-М;Полный день;2023-03-03;50000;60000;RUR
77418554;Финансовый аналитик;Помощник бизнес-аналитика;Москва;Волконский, кондитерская;Полный день;2023-02-27;40000;50000;RUR
77618399;Финансовый аналитик;Экономист-финансист;Москва;МАППЕР;Полный день;2023-03-02;80000;100000;RUR
77106832;Финансовый аналитик;Помощник финансового директора;Новосибирск;Михалева Анна Владимировна;Удаленная работа;2023-03-04;;30000;RUR
76695121;Финансовый аналитик;Главный кредитный аналитик;Москва;Совкомбанк;Полный день;2023-03-01;160000;;RUR
77131527;Финансовый аналитик;Финансовый аналитик;Иваново (Ивановская область);Abi;Полный день;2023-02-17;;;
77437524;Финансовый аналитик;Кредитный аналитик;Санкт-Петербург;Банк Открытие;Полный день;2023-02-27;;;
76343186;Финансовый аналитик;Финансовый аналитик;Москва;Тинькофф;Полный день;2023-02-22;;;
77540271;Финансовый аналитик;Младший финансовый контролер;Одинцово;Группа компаний Мать и дитя;Полный день;2023-03-03;;;
76966472;Финансовый аналитик;Финансовый аналитик;Владимир;Abi;Полный день;2023-02-14;;;
77365870;Финансовый аналитик;Финансовый менеджер;Санкт-Петербург;Data-Driven Lab;Сменный график;2023-02-24;;;
77148322;Финансовый аналитик;Junior Finance Manager / Финансовый менеджер;Москва;Procter & Gamble;Полный день;2023-02-17;130000;;RUR
76519080;Финансовый аналитик;Специалист финансового отдела;Нижний Новгород;Лунда;Полный день;2023-03-03;46000;;RUR
77140765;Финансовый аналитик;Финансовый аналитик;Москва;Росток-СТ;Полный день;2023-02-17;110000;180000;RUR
77455646;Финансовый аналитик;Бизнес-аналитик;Владивосток;ТаймЛизинг;Полный день;2023-02-28;35000;50000;RUR
77016546;Финансовый аналитик;Помощник финансового аналитика;Москва;Росток-СТ;Полный день;2023-02-15;79500;150000;RUR
72783016;Финансовый аналитик;Экономист;Владимир;Abi;Полный день;2023-03-02;;;
77131530;Финансовый аналитик;Финансовый аналитик;Тверь;Abi;Полный день;2023-02-17;;;
77280842;Финансовый аналитик;Финансовый аналитик / начинающий специалист;Красноярск;Совкомбанк;Полный день;2023-02-21;;;
77197997;Финансовый аналитик;Экономист- аналитик/ Экономист финансового отдела/ Экономист-финансист;Санкт-Петербург;Центр Днк Тест;Полный день;2023-02-20;60000;;RUR
77004318;Финансовый аналитик;Финансовый аналитик;Москва;АМИКО, Консалтинговая компания;Полный день;2023-02-15;50000;;RUR
76331487;Финансовый аналитик;Финансовый менеджер/Финансовый аналитик;Москва;Бронницкий Ювелир;Полный день;2023-02-16;;;
76031822;Финансовый аналитик;Финансовый менеджер;Красногорск;ГК Вектор;Полный день;2023-02-19;;;
75956288;Финансовый аналитик;Младший финансовый аналитик (лидерская программа);Москва;ВсеИнструменты.ру;Гибкий график;2023-02-06;;;
76769330;Финансовый аналитик;Младший финансовый аналитик;Москва;Intelligent Analytics;Полный день;2023-02-08;60000;80000;RUR
77063378;Финансовый аналитик;Младший финансовый менеджер;Москва;GetFlat;Полный день;2023-02-16;20000;25000;RUR
76828249;Финансовый аналитик;Аналитик по проведению финансовых расследований;Москва;Росфинмониторинг;Полный день;2023-02-09;60000;;RUR
76567619;Финансовый аналитик;Помощник финансового аналитика;Казань;Азалия;Полный день;2023-03-01;45000;60000;RUR
76598077;Финансовый аналитик;Младший финансовый аналитик;Москва;Abbott Laboratories;Полный день;2023-02-03;;;
76738598;Финансовый аналитик;Стажер финансовый контролер/Аналитик | Financial controller/Analyst trainee;Москва;Передовые Платежные Решения;Гибкий график;2023-02-07;;;
76583057;Финансовый аналитик;Экономист-аналитик;Новосибирск;Ростелеком;Полный день;2023-02-03;;;
73804505;Финансовый аналитик;Финансовый аналитик отдела Лизинга;Нижний Новгород;ГК АГАТ;Полный день;2023-02-17;45000;;RUR
77007396;Финансовый аналитик;Финансовый менеджер (маркетплейсы), удаленно;Краснодар;Ищенко Артём Федорович;Удаленная работа;2023-02-15;45000;45000;RUR
76762747;Финансовый аналитик;Программист-аналитик отдела экономического анализа ФЭД;Москва;МЕТКОМБАНК, ПАО, Московский филиал;Полный день;2023-02-08;;;
75719082;Финансовый аналитик;Стажёр финансового сопровождения M&A сделок;Москва;Financial Consulting Group;Полный день;2023-02-11;40000;;RUR
76596069;Финансовый аналитик;Финансовый аналитик;Махачкала;Билд Град;Полный день;2023-02-03;15000;50000;RUR
77541018;Финансовый аналитик;Финансовый аналитик-стажер;Москва;СберЗдоровье;Полный день;2023-03-01;;;
77496919;Финансовый аналитик;Финансовый аналитик-стажер;Москва;Росток-СТ;Полный день;2023-02-28;100000;150000;RUR
77558656;Финансовый аналитик;Стажер в финансовый отдел;Москва;Х5 Group;Полный день;2023-03-01;;;
77319364;Финансовый аналитик;Финансовый аналитик ( стажер );Москва;Росток-СТ;Полный день;2023-02-22;80000;130000;RUR
77189364;Финансовый аналитик;Финансовый аналитик;Москва;Совкомбанк;Полный день;2023-02-20;;;
77056648;Финансовый аналитик;Экономист сопровождения кредитных проектов;Воронеж;Россельхозбанк;Полный день;2023-03-03;;;
76945203;Финансовый аналитик;Аналитик внутреннего учета;Владивосток;DNS Головной офис;Полный день;2023-03-03;55000;70000;RUR
77143739;Финансовый аналитик;Специалист по составлению отчетов;Нижний Новгород;Национальная служба банкротства;Полный день;2023-03-01;55000;;RUR
77603064;Финансовый аналитик;Бизнес-аналитик (Департамент администрирования расходов);Москва;Промсвязьбанк;Полный день;2023-03-02;;;
75491082;Финансовый аналитик;Экономист;Томск;МБУ Централизованная бухгалтерия департамента образования администрации города Томска;Полный день;2023-03-03;23000;26000;RUR
77525392;Финансовый аналитик;Ведущий экономист;Санкт-Петербург;Морской порт Санкт-Петербург;Полный день;2023-03-01;;;
